id_Mun,id_Prov_Mun,Municipio_PBA,Región,AMBA,Apertura_PBA_UNGS,Apertura_PBA_UNDAV,"lat,long",pob_2015,pob_2016,pob_2017,pob_2018,pob_2019,pob_2020,pob_2021,pob_2022,pob_2023,pob_2024,pob_2025
462,6-462,Leandro N. Alem,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.4979071779738,-61.5423105969564",17200,17250,17300,17348,17396,17442,17489,17534,17580,17624,17667
469,6-469,Lincoln,Región III,Interior PBA,Interior PBA,Interior PBA,"-34.8681769069387,-61.5294113015902",42259,42270,42281,42291,42302,42312,42323,42333,42342,42353,42363
77,6-77,Arrecifes,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.0675149076868,-60.1086915854482",30326,30532,30735,30936,31133,31328,31520,31709,31895,32078,32259
70,6-70,Baradero,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.8070727746888,-59.502227834447",34710,35045,35375,35701,36022,36338,36649,36956,37258,37556,37849
140,6-140,Capitán Sarmiento,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.1712798490857,-59.7935986805346",15512,15692,15869,16044,16216,16387,16553,16718,16881,17041,17198
161,6-161,Carmen de Areco,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.3766620788918,-59.8226965331185",15197,15271,15345,15418,15489,15560,15629,15697,15765,15831,15896
175,6-175,Colón,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.8971263967658,-61.0994163616757",26105,26305,26503,26697,26889,27078,27264,27447,27629,27806,27982
623,6-623,Pergamino,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.89110914627,-60.5745861942974",107794,108251,108700,109145,109582,110012,110435,110854,111266,111672,112071
665,6-665,Ramallo,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.4852021201817,-60.0044384245936",35567,36018,36463,36902,37335,37761,38180,38595,39003,39404,39800
686,6-686,Rojas,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.1977424299691,-60.7337006961302",23995,24065,24134,24203,24269,24336,24401,24465,24529,24591,24652
714,6-714,Salto,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.2917463151403,-60.2545024881993",34894,35288,35678,36061,36440,36812,37179,37541,37897,38248,38594
728,6-728,San Andrés de Giles,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.4423774221802,-59.4475191785672",24500,24755,25008,25257,25502,25744,25981,26216,26448,26675,26899
735,6-735,San Antonio de Areco,Región IV,Interior PBA,Interior PBA,Interior PBA,"-34.2436381380896,-59.4736523440804",24307,24501,24693,24882,25068,25251,25431,25610,25785,25957,26128
763,6-763,San Nicolás,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.3388220104274,-60.2218965170106",151279,152106,152922,153728,154520,155301,156069,156827,157575,158311,159037
770,6-770,San Pedro,Región IV,Interior PBA,Interior PBA,Interior PBA,"-33.6759480338746,-59.6630158154275",61644,62061,62474,62881,63283,63677,64066,64450,64827,65200,65567
126,6-126,Campana,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.1632540248533,-58.9592077500376",100474,101518,102549,103565,104566,105552,106522,107480,108423,109352,110268
252,6-252,Escobar,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.3460457336237,-58.7944154648018",235408,239461,243456,247385,251245,255073,258805,262495,266121,269692,273209
266,6-266,Exaltación de la Cruz,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.2941400469256,-59.0992709812707",33330,33991,34643,35287,35922,36545,37161,37766,38364,38953,39532
371,6-371,General San Martín,Región V,AMBA,Primer cordón,Primer cordón,"-34.5779100955744,-58.538656474017",421725,422440,423153,423877,424567,425265,425911,426556,427191,427783,428283
412,6-412,José C. Paz,Región V,AMBA,Segundo cordón,Segundo cordón,"-34.5231938431213,-58.7519435026904",288228,292304,296279,300035,303896,307443,311187,314878,318364,321710,324990
515,6-515,Malvinas Argentinas,Región V,AMBA,Segundo cordón,Segundo cordón,"-34.5020886360816,-58.6949943496095",342798,346406,349867,353281,356643,359953,363263,366479,369648,372771,375896
638,6-638,Pilar,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.4586965254243,-58.9139679120894",340189,347998,355707,363309,370798,378167,385426,392587,399645,406599,413447
749,6-749,San Fernando,Región V,AMBA,Primer cordón,Segundo cordón,"-34.4406044816115,-58.5581489421199",169844,170880,171902,172911,173904,174883,175845,176795,177731,178654,179563
756,6-756,San Isidro,Región V,AMBA,Primer cordón,Primer cordón,"-34.4664285222585,-58.5096898127346",293848,293496,293157,292831,292520,292224,291963,291704,291448,291276,291097
760,6-760,San Miguel,Región V,AMBA,Segundo cordón,Segundo cordón,"-34.5430416027877,-58.7119689875787",291845,294370,296861,299319,301740,304122,306469,308784,311065,313312,315526
805,6-805,Tigre,Región V,AMBA,Segundo cordón,Segundo cordón,"-34.4226492597555,-58.5808752886636",422108,430660,438906,447040,455056,462998,470776,478432,485999,493467,500615
861,6-861,Vicente López,Región V,AMBA,Primer cordón,Primer cordón,"-34.5093203796318,-58.4813961663",269705,269294,268897,268509,268064,267655,267257,266880,266538,266203,265885
882,6-882,Zárate,Región V,AMBA,Tercer cordón,Tercer cordón,"-34.0958050953288,-59.0243232311321",121748,123054,124342,125613,126865,128096,129309,130506,131686,132848,133993
28,6-28,Almirante Brown,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.7973726761081,-58.3884529298588",578513,582541,586564,590418,594270,597969,601618,605271,608878,612438,616000
35,6-35,Avellaneda,Región VI,AMBA,Primer cordón,Primer cordón,"-34.6638295180178,-58.3627373528465",351165,352246,353273,354314,355352,356392,357440,358512,359550,360583,361532
91,6-91,Berazategui,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.7630163220456,-58.2121691470884",346658,350578,354447,358262,362021,365771,369294,372889,376431,379921,383458
260,6-260,Esteban Echeverría,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.8163558068749,-58.468264228911",337890,344795,351564,358342,364641,370900,377237,383538,389731,395856,402021
270,6-270,Ezeiza,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.8527621790313,-58.5232011228335",192430,197895,203292,208615,213864,219031,224228,229276,234233,239220,244167
274,6-274,Florencio Varela,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.8044367905254,-58.2792527719978",473950,482757,491652,500225,508671,517082,525270,533446,541606,549812,557936
434,6-434,Lanús,Región VI,AMBA,Primer cordón,Primer cordón,"-34.7037709461722,-58.4005603047142",463178,463106,463034,462964,462895,462827,462760,462693,462628,462564,462501
490,6-490,Lomas de Zamora,Región VI,AMBA,Primer cordón,Primer cordón,"-34.7596127829036,-58.3994691320947",635593,638287,640916,643437,645880,648312,650678,652937,655122,657218,659249
658,6-658,Quilmes,Región VI,AMBA,Segundo cordón,Segundo cordón,"-34.7200676329149,-58.2543469769314",626006,633913,641742,649480,657123,664783,672199,679375,686466,693277,699997
